area,population
三重県,1770000
京都府,2578000
佐賀県,811000
兵庫県,5465000
北海道,5225000
千葉県,6284000
和歌山県,923000
埼玉県,7345000
大分県,1124000
大阪府,8838000
奈良県,1324000
宮城県,2302000
宮崎県,1070000
富山県,1035000
山口県,1342000
山形県,1068000
山梨県,810000
岐阜県,1979000
岡山県,1888000
岩手県,1211000
島根県,671000
広島県,2800000
徳島県,720000
愛媛県,1335000
愛知県,7542000
新潟県,2201000
東京都,14048000
栃木県,1933000
沖縄県,1467000
滋賀県,1414000
熊本県,1738000
石川県,1133000
神奈川県,9237000
福井県,767000
福岡県,5135000
福島県,1833000
秋田県,960000
群馬県,1939000
茨城県,2867000
長崎県,1312000
長野県,2048000
青森県,1238000
静岡県,3633000
香川県,950000
高知県,692000
鳥取県,553000
鹿児島県,1588000
