role,population
ACCOUNTANT,624300
ADMINISTRATIVE ASSISTANT,201000
ADMINISTRATOR,405800
ANALYST,624300
ARCHITECT,624300
ASSOCIATE PROFESSIONALS AND TECHNICIANS,495500
CHIEF EXECUTIVE,405800
"CLEANERS, LABOURERS AND RELATED WORKERS",167700
CLERICAL SUPPORT WORKER,201000
CRAFTSMEN AND RELATED TRADES WORKERS,51600
DOCTOR,624300
ENGINEER,624300
LAWYER,624300
MANAGER,405800
MANAGING DIRECTOR,405800
MEDICAL PRACTITIONER,624300
OFFICE CLERK,201000
PLANT AND MACHINE OPERATORS AND ASSEMBLERS,128900
PROFESSIONAL,624300
SECRETARY,201000
SERVICE AND SALES WORKERS,247000
SOLICITOR,624300
WORKING PROPRIETOR,405800
